time,x,y,z,speed,WFS,I,U,layer_id
38:52.6,410.012,799.512,43.397,0.984,6.72,138.6,13.5,5
38:52.7,408.747,799.504,43.403,0.984,6.72,138.6,13.5,5
38:52.8,407.345,799.509,43.399,1.131,6.85,144.4,13.82,5
38:52.8,406.874,799.498,43.4,1.131,6.85,144.4,13.82,5
38:52.9,405.472,799.504,43.395,0.942,6.85,144.4,13.82,5
38:52.9,405.078,799.506,43.41,0.942,6.85,144.4,13.82,5
38:53.0,403.805,799.508,43.391,1.06,6.42,143.7,13.36,5
38:53.0,403.34,799.497,43.402,1.06,6.42,143.7,13.36,5
38:53.1,402.003,799.509,43.41,1.12,6.42,143.7,13.36,5
38:53.1,401.53,799.495,43.392,1.12,6.42,143.7,13.36,5
38:53.2,400.387,799.497,43.394,0.605,6.42,143.7,13.36,5
38:53.2,400.139,799.501,43.388,0.605,6.42,143.7,13.36,5
38:53.3,399.999,799.498,43.402,0.0,6.66,138.5,13.5,5
38:53.3,399.999,799.498,43.402,0.0,6.66,138.5,13.5,5
