time, x, y, z, speed, ArcOn, WFS, I, U, tool, frame, dz, speedOverride
37:07.1,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.1,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.3,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.3,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.4,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.4,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.5,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.5,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.6,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.6,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.6,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.8,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.8,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.9,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:07.9,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:08.0,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:08.0,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:08.1,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:08.1,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:08.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:08.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:08.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:08.3,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:08.3,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:08.4,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:08.4,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:08.5,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
