X,Y,Z,layer_id_2MethodKmean7
1861.47,354.402,-40.0829,1
1861.43,354.454,-40.2474,0
1861.42,354.51,-40.31,0
1861.37,354.561,-40.5154,0
1861.33,354.614,-40.6567,0
1861.28,354.665,-40.8872,0
1860.19,351.34,-41.0421,0
1860.28,351.414,-40.7064,0
1860.31,351.479,-40.5708,0
1860.36,351.546,-40.3799,0
1860.38,351.606,-40.3153,0
1860.39,351.666,-40.275,0
1860.44,351.731,-40.1161,1
1860.45,351.79,-40.068,1
1860.48,351.853,-39.9646,1
1860.5,351.914,-39.8698,1
1860.52,351.974,-39.8062,1
1860.55,352.037,-39.6872,1
1860.58,352.098,-39.608,1
1860.58,352.155,-39.592,1
1860.59,352.213,-39.575,1
1860.6,352.271,-39.5512,1
1860.6,352.329,-39.5342,1
1860.62,352.389,-39.4638,1
1860.64,352.447,-39.4235,1
1860.64,352.505,-39.4152,1
1860.64,352.561,-39.4293,1
1860.64,352.617,-39.4443,1
1860.64,352.675,-39.4351,1
1860.65,352.732,-39.4191,1
1860.65,352.789,-39.4186,1
1860.65,352.846,-39.4171,1
1860.65,352.903,-39.4089,1
1860.66,352.96,-39.3919,1
1860.66,353.018,-39.3836,1
1860.67,353.075,-39.3666,1
1860.67,353.131,-39.3739,1
1860.67,353.188,-39.3812,1
1860.68,353.246,-39.3642,1
1860.68,353.303,-39.3559,1
1860.66,353.355,-39.4565,1
1860.65,353.411,-39.4861,1
1860.65,353.467,-39.5089,1
1860.65,353.523,-39.524,1
1860.65,353.581,-39.5147,1
1860.65,353.637,-39.522,1
1860.64,353.693,-39.5604,1
1860.63,353.748,-39.6065,1
1860.63,353.805,-39.6215,1
1860.62,353.859,-39.6832,1
1860.61,353.915,-39.7051,1
1860.6,353.97,-39.7677,1
1860.58,354.025,-39.8449,1
1860.56,354.078,-39.9386,1
1860.53,354.131,-40.0556,1
1860.51,354.186,-40.1415,1
1860.5,354.241,-40.1876,1
1860.46,354.292,-40.3843,0
1860.44,354.348,-40.4391,0
1860.41,354.401,-40.5726,0
1860.35,354.45,-40.8343,0
1860.21,354.49,-41.4009,0
1859.06,351.311,-41.3301,0
1859.14,351.385,-41.0246,0
1859.2,351.454,-40.7851,0
1859.25,351.52,-40.6175,0
1859.27,351.581,-40.5451,0
1859.3,351.645,-40.4251,0
1859.33,351.707,-40.3216,0
1859.34,351.767,-40.2813,0
1859.37,351.829,-40.17,1
1859.39,351.889,-40.1054,1
1859.4,351.948,-40.0651,1
1859.42,352.008,-40.0092,1
1859.44,352.069,-39.9301,1
1859.45,352.128,-39.8975,1
1859.47,352.19,-39.8028,1
1859.5,352.251,-39.6993,1
1859.5,352.307,-39.7066,1
1859.51,352.365,-39.7051,1
1859.52,352.423,-39.6736,1
1859.52,352.48,-39.6566,1
1859.52,352.537,-39.6639,1
1859.53,352.594,-39.6546,1
1859.53,352.652,-39.6308,1
1859.54,352.71,-39.6061,1
1859.55,352.769,-39.5667,1
1859.55,352.825,-39.5886,1
1859.54,352.88,-39.6347,1
1859.54,352.937,-39.6264,1
1859.55,352.995,-39.6017,1
1859.55,353.052,-39.6167,1
1859.54,353.107,-39.6551,1
1859.54,353.164,-39.6701,1
1859.54,353.219,-39.692,1
1859.54,353.276,-39.707,1
1859.53,353.33,-39.7532,1
1859.51,353.385,-39.8391,1
1859.51,353.441,-39.8532,1
1859.51,353.498,-39.8527,1
1859.52,353.556,-39.8279,1
1859.51,353.613,-39.843,1
1859.5,353.666,-39.9212,1
1859.48,353.72,-40.0061,1
1859.47,353.776,-40.0445,1
1859.44,353.829,-40.1469,1
1859.42,353.884,-40.2329,0
1859.42,353.94,-40.2712,0
1859.41,353.996,-40.3173,0
1859.37,354.047,-40.4751,0
